locus_tag	ftype	length_bp	gene	EC_number	COG	product
NDPPBKPF_00112	CDS	726	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
NDPPBKPF_00113	CDS	1671	shlB_1			Hemolysin transporter protein ShlB
NDPPBKPF_00114	CDS	1794	cdiA	3.1.-.-		tRNA nuclease CdiA
NDPPBKPF_00115	CDS	486				hypothetical protein
NDPPBKPF_00116	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
NDPPBKPF_00117	CDS	591	lptE		COG2980	LPS-assembly lipoprotein LptE
NDPPBKPF_00118	CDS	1035	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
NDPPBKPF_00119	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
NDPPBKPF_00120	CDS	630	cobC_1	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
NDPPBKPF_00121	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
NDPPBKPF_00122	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
NDPPBKPF_00123	CDS	1902	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
NDPPBKPF_00124	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
NDPPBKPF_00125	CDS	1149	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
NDPPBKPF_00126	CDS	1272	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
NDPPBKPF_00127	CDS	264				hypothetical protein
NDPPBKPF_00128	CDS	645	lipB	2.3.1.181	COG0321	Octanoyltransferase
NDPPBKPF_00129	CDS	897	ybdO_1			putative HTH-type transcriptional regulator YbdO
NDPPBKPF_00130	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
NDPPBKPF_00131	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
NDPPBKPF_00132	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
NDPPBKPF_00133	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
NDPPBKPF_00134	CDS	210	cspE			Cold shock-like protein CspE
NDPPBKPF_00135	CDS	519	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
NDPPBKPF_00136	CDS	1374	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
NDPPBKPF_00137	CDS	798	rna	4.6.1.21	COG3719	Ribonuclease I
NDPPBKPF_00138	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
NDPPBKPF_00139	CDS	429	uspG_1		COG0589	Universal stress protein UP12
NDPPBKPF_00140	CDS	1566	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
NDPPBKPF_00141	CDS	564	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
NDPPBKPF_00142	CDS	750	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
NDPPBKPF_00143	CDS	933	ybdO_2			putative HTH-type transcriptional regulator YbdO
NDPPBKPF_00144	CDS	1224	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
NDPPBKPF_00145	CDS	627	ybdM		COG1475	putative protein YbdM
NDPPBKPF_00146	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
NDPPBKPF_00147	CDS	690	mtnC	3.1.3.77		Enolase-phosphatase E1
NDPPBKPF_00148	CDS	543	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
NDPPBKPF_00149	CDS	2310	dmsA_1	1.7.2.3	COG0243	Dimethyl sulfoxide/trimethylamine N-oxide reductase
NDPPBKPF_00150	CDS	981	ytfQ_1			ABC transporter periplasmic-binding protein YtfQ
NDPPBKPF_00151	CDS	1551	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
NDPPBKPF_00152	CDS	990	alsC		COG1172	D-allose transport system permease protein AlsC
NDPPBKPF_00153	CDS	1005	rbsC_1		COG1172	Ribose import permease protein RbsC
NDPPBKPF_00154	CDS	942	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
NDPPBKPF_00155	CDS	1029	yoaD	1.1.1.-	COG0111	Putative 2-hydroxyacid dehydrogenase YoaD
NDPPBKPF_00156	CDS	1497	lyx_1	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
NDPPBKPF_00157	CDS	609	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
NDPPBKPF_00158	CDS	1263	codB		COG1457	Cytosine permease
NDPPBKPF_00159	CDS	1236				hypothetical protein
NDPPBKPF_00160	CDS	1239	codA_1	3.5.4.1	COG0402	Cytosine deaminase
NDPPBKPF_00161	CDS	1041	rbsR_1		COG1609	Ribose operon repressor
NDPPBKPF_00162	CDS	810	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
NDPPBKPF_00163	CDS	1359	glpT_1		COG2271	Glycerol-3-phosphate transporter
NDPPBKPF_00164	CDS	1269	agp_1	3.1.3.10		Glucose-1-phosphatase
NDPPBKPF_00165	CDS	1029	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
NDPPBKPF_00166	CDS	1200	mtnK	2.7.1.100	COG4857	Methylthioribose kinase
NDPPBKPF_00167	CDS	1242				hypothetical protein
NDPPBKPF_00168	CDS	1065				hypothetical protein
NDPPBKPF_00169	CDS	999	rbsC_2		COG1172	Ribose import permease protein RbsC
NDPPBKPF_00170	CDS	1503	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
NDPPBKPF_00171	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
NDPPBKPF_00172	CDS	744	bdcA_1		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
NDPPBKPF_00173	CDS	303				hypothetical protein
NDPPBKPF_00174	CDS	126				hypothetical protein
NDPPBKPF_00175	CDS	243				hypothetical protein
NDPPBKPF_00176	CDS	198				hypothetical protein
NDPPBKPF_00177	CDS	2106	cstA		COG1966	Peptide transporter CstA
NDPPBKPF_00178	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
NDPPBKPF_00179	CDS	327	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
NDPPBKPF_00180	CDS	567	astB_1	3.5.3.23	COG3724	N-succinylarginine dihydrolase
NDPPBKPF_00181	CDS	966	astE_1	3.5.1.96	COG2988	Succinylglutamate desuccinylase
NDPPBKPF_00182	CDS	483	spy		COG3678	Periplasmic chaperone Spy
NDPPBKPF_00183	CDS	864	cho	3.1.25.-	COG0322	Excinuclease cho
NDPPBKPF_00184	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
NDPPBKPF_00185	CDS	339	osmE			Osmotically-inducible putative lipoprotein OsmE
NDPPBKPF_00186	CDS	321	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
NDPPBKPF_00187	CDS	1359	chbC		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
NDPPBKPF_00188	CDS	348	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
NDPPBKPF_00189	CDS	825	chbR			HTH-type transcriptional regulator ChbR
NDPPBKPF_00190	CDS	1347	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
NDPPBKPF_00191	CDS	759	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
NDPPBKPF_00192	CDS	2259	katE	1.11.1.6	COG0753	Catalase HPII
NDPPBKPF_00193	CDS	333	cedA			Cell division activator CedA
NDPPBKPF_00194	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
NDPPBKPF_00195	CDS	591	ydjM		COG1988	Inner membrane protein YdjM
NDPPBKPF_00196	CDS	762	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
NDPPBKPF_00197	CDS	669	hxpB_1	3.1.3.68	COG0637	Hexitol phosphatase B
NDPPBKPF_00198	CDS	537				hypothetical protein
NDPPBKPF_00199	CDS	366		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
NDPPBKPF_00200	CDS	2184	pfeA		COG4771	Ferric enterobactin receptor
NDPPBKPF_00201	CDS	540	yciB		COG2917	putative intracellular septation protein A
NDPPBKPF_00202	CDS	744				hypothetical protein
NDPPBKPF_00203	CDS	414				hypothetical protein
NDPPBKPF_00204	CDS	639	ompW		COG3047	Outer membrane protein W
NDPPBKPF_00205	CDS	678		1.14.11.-	COG3128	PKHD-type hydroxylase
NDPPBKPF_00206	CDS	2286	fiu		COG4774	Catecholate siderophore receptor Fiu
NDPPBKPF_00207	CDS	708				hypothetical protein
NDPPBKPF_00208	CDS	273				hypothetical protein
NDPPBKPF_00209	CDS	948				hypothetical protein
NDPPBKPF_00210	CDS	459				hypothetical protein
NDPPBKPF_00211	CDS	909	benM_1			HTH-type transcriptional regulator BenM
NDPPBKPF_00212	CDS	1311	ttuB_1			Putative tartrate transporter
NDPPBKPF_00213	CDS	1089	ttuC'	1.1.1.93		putative tartrate dehydrogenase/decarboxylase TtuC'
NDPPBKPF_00214	CDS	1260	ttuD	1.1.1.81		Putative hydroxypyruvate reductase
NDPPBKPF_00215	CDS	810	trpA	4.2.1.20		Tryptophan synthase alpha chain
NDPPBKPF_00216	CDS	1194	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
NDPPBKPF_00217	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
NDPPBKPF_00218	CDS	1596	trpGD		COG0512	Bifunctional protein TrpGD
NDPPBKPF_00219	CDS	1563	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
NDPPBKPF_00220	CDS	864	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
NDPPBKPF_00221	CDS	621	yciO		COG0009	putative protein YciO
NDPPBKPF_00222	CDS	909				IS1595 family transposase ISBsp7
NDPPBKPF_00223	CDS	897	gcvA_1			Glycine cleavage system transcriptional activator
NDPPBKPF_00224	CDS	1377				hypothetical protein
NDPPBKPF_00225	CDS	474				hypothetical protein
NDPPBKPF_00226	CDS	141				hypothetical protein
NDPPBKPF_00227	CDS	903	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
NDPPBKPF_00228	CDS	591	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
NDPPBKPF_00229	CDS	801	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
NDPPBKPF_00230	CDS	1083	sohB	3.4.21.-	COG0616	putative protease SohB
NDPPBKPF_00231	CDS	252	yciN			Protein YciN
NDPPBKPF_00232	CDS	441				hypothetical protein
NDPPBKPF_00233	CDS	120				hypothetical protein
NDPPBKPF_00234	CDS	384				hypothetical protein
NDPPBKPF_00235	CDS	960				hypothetical protein
NDPPBKPF_00236	CDS	618	mdcG	2.7.7.66		Phosphoribosyl-dephospho-CoA transferase
NDPPBKPF_00237	CDS	903	fabD_1	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
NDPPBKPF_00238	CDS	927	cynR_1			HTH-type transcriptional regulator CynR
NDPPBKPF_00239	CDS	1647	mqo_1	1.1.5.4	COG0579	Malate:quinone oxidoreductase
NDPPBKPF_00240	CDS	921	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
NDPPBKPF_00241	CDS	357				hypothetical protein
NDPPBKPF_00242	CDS	1617	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
NDPPBKPF_00243	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
NDPPBKPF_00244	CDS	951	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
NDPPBKPF_00245	CDS	2778	namA_1	1.6.99.1		NADPH dehydrogenase
NDPPBKPF_00246	CDS	1434	ttdT		COG0471	L-tartrate/succinate antiporter
NDPPBKPF_00247	CDS	1653	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
NDPPBKPF_00248	CDS	1617				hypothetical protein
NDPPBKPF_00249	CDS	867				hypothetical protein
NDPPBKPF_00250	CDS	258				hypothetical protein
NDPPBKPF_00251	CDS	132				hypothetical protein
NDPPBKPF_00252	CDS	348				hypothetical protein
NDPPBKPF_00253	CDS	420				hypothetical protein
NDPPBKPF_00254	rRNA	407				16S ribosomal RNA (partial)
NDPPBKPF_00255	CDS	243				hypothetical protein
NDPPBKPF_00256	CDS	276	frmR_1		COG1937	Transcriptional repressor FrmR
NDPPBKPF_00257	CDS	111				hypothetical protein
NDPPBKPF_00258	CDS	294	bin3			Putative transposon Tn552 DNA-invertase bin3
NDPPBKPF_00259	CDS	837				hypothetical protein
NDPPBKPF_00260	CDS	420	neo	2.7.1.95		Aminoglycoside 3'-phosphotransferase
NDPPBKPF_00261	CDS	447				hypothetical protein
NDPPBKPF_00262	CDS	1632				Tn3 family transposase TnAs1
NDPPBKPF_00263	CDS	744				hypothetical protein
NDPPBKPF_00264	CDS	351				hypothetical protein
NDPPBKPF_00265	CDS	231				hypothetical protein
NDPPBKPF_00266	CDS	417	vapC_1	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
NDPPBKPF_00267	CDS	285				IS3 family transposase ISEc15
NDPPBKPF_00268	CDS	804				IS3 family transposase ISEc15
NDPPBKPF_00269	CDS	888	lon_1	3.4.21.53		Lon protease
NDPPBKPF_00270	CDS	1656				Tn3 family transposase TnEc1
NDPPBKPF_00271	CDS	309	pinR	3.1.22.-	COG1961	Serine recombinase PinR
NDPPBKPF_00272	CDS	324	tetR			Tetracycline repressor protein class A from transposon 1721
NDPPBKPF_00273	rRNA	811				23S ribosomal RNA (partial)
NDPPBKPF_00274	CDS	441				hypothetical protein
NDPPBKPF_00275	rRNA	655				16S ribosomal RNA (partial)
NDPPBKPF_00276	CDS	1032				IS630 family transposase ISEc33
NDPPBKPF_00277	CDS	1773	fimD_1		COG3188	Outer membrane usher protein FimD
NDPPBKPF_00278	CDS	528	fimF_1			Protein FimF
NDPPBKPF_00279	CDS	474	fimG_1			Protein FimG
NDPPBKPF_00280	CDS	927	fimH_1			Type 1 fimbrin D-mannose specific adhesin
NDPPBKPF_00281	CDS	858	pdeG_1	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
NDPPBKPF_00282	CDS	1317				hypothetical protein
NDPPBKPF_00283	CDS	615	vbhT	2.7.7.-		Protein adenylyltransferase VbhT
NDPPBKPF_00284	CDS	159				hypothetical protein
NDPPBKPF_00285	CDS	1002				hypothetical protein
NDPPBKPF_00286	CDS	237				hypothetical protein
NDPPBKPF_00287	CDS	1407				hypothetical protein
NDPPBKPF_00288	CDS	621				hypothetical protein
NDPPBKPF_00289	CDS	648				hypothetical protein
NDPPBKPF_00290	CDS	756				hypothetical protein
NDPPBKPF_00291	CDS	1848				hypothetical protein
NDPPBKPF_00292	CDS	2916	hsdR	3.1.21.3		Type-1 restriction enzyme R protein
NDPPBKPF_00293	CDS	1203				hypothetical protein
NDPPBKPF_00294	CDS	1608	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
NDPPBKPF_00295	CDS	573				hypothetical protein
NDPPBKPF_00296	CDS	2316				hypothetical protein
NDPPBKPF_00297	CDS	504			COG1662	IS1 family transposase IS1R
NDPPBKPF_00298	CDS	1032				IS630 family transposase ISEc33
NDPPBKPF_00299	CDS	675	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
NDPPBKPF_00300	CDS	843	nimR_1			HTH-type transcriptional regulator NimR
NDPPBKPF_00301	CDS	387				hypothetical protein
NDPPBKPF_00302	CDS	2046	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
NDPPBKPF_00303	CDS	750	ydfG_1	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
NDPPBKPF_00304	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
NDPPBKPF_00305	CDS	432	uspG_2		COG0589	Universal stress protein UP12
NDPPBKPF_00306	CDS	1464	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
NDPPBKPF_00307	CDS	1284	lgoT			putative L-galactonate transporter
NDPPBKPF_00308	CDS	249				hypothetical protein
NDPPBKPF_00309	CDS	342				hypothetical protein
NDPPBKPF_00310	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
NDPPBKPF_00311	CDS	711				hypothetical protein
NDPPBKPF_00312	CDS	270	ynfD			putative protein YnfD
NDPPBKPF_00313	CDS	2436	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
NDPPBKPF_00314	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
NDPPBKPF_00315	CDS	1032				IS630 family transposase ISEc33
NDPPBKPF_00316	CDS	333				hypothetical protein
NDPPBKPF_00317	CDS	507	hcpA_1		COG3157	Major exported protein
NDPPBKPF_00318	CDS	780	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
NDPPBKPF_00319	CDS	996	hmuU_1		COG0609	Hemin transport system permease protein HmuU
NDPPBKPF_00320	CDS	819	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
NDPPBKPF_00321	CDS	465	hemS_1		COG3720	Hemin transport protein HemS
NDPPBKPF_00322	CDS	708	hemS_2		COG3720	Hemin transport protein HemS
NDPPBKPF_00323	CDS	2364				hypothetical protein
NDPPBKPF_00324	CDS	294				hypothetical protein
NDPPBKPF_00325	CDS	1710	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
NDPPBKPF_00326	CDS	942				hypothetical protein
NDPPBKPF_00327	CDS	888	tsaR_1			HTH-type transcriptional regulator TsaR
NDPPBKPF_00328	CDS	396				hypothetical protein
NDPPBKPF_00329	CDS	855	mntB_1			Manganese transport system membrane protein MntB
NDPPBKPF_00330	CDS	849	mntB_2			Manganese transport system membrane protein MntB
NDPPBKPF_00331	CDS	822	mntB_3		COG1121	Manganese transport system ATP-binding protein MntB
NDPPBKPF_00332	CDS	918			COG0803	putative periplasmic iron-binding protein
NDPPBKPF_00333	CDS	963	galR_1		COG1609	HTH-type transcriptional regulator GalR
NDPPBKPF_00334	CDS	915	mak_1	2.7.1.4	COG1940	Fructokinase
NDPPBKPF_00335	CDS	315	chbA_2		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
NDPPBKPF_00336	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
